driver,lap,pos,life,compound,time,avg_prev_3_time,pace_delta
BOT,17,16.0,11,SOFT,96.766,96.25366666666666,3.3699999999999903
ALO,17,17.0,17,MEDIUM,96.453,96.75333333333333,3.86966666666666
STR,17,18.0,17,MEDIUM,96.371,98.16966666666667,5.286000000000001
NOR,18,1.0,18,MEDIUM,93.04,92.98366666666668,0.0
ANT,18,2.0,18,MEDIUM,93.244,93.29700000000001,0.3133333333333326
LEC,18,3.0,18,MEDIUM,93.692,94.18433333333336,1.2006666666666774
PIA,18,4.0,18,MEDIUM,94.013,93.94066666666667,0.9569999999999936
RUS,18,5.0,18,MEDIUM,94.058,93.68333333333334,0.6996666666666584
HAM,18,6.0,18,MEDIUM,94.232,93.82900000000001,0.845333333333329
COL,18,7.0,18,MEDIUM,94.654,94.22033333333336,1.2366666666666788
VER,18,8.0,12,HARD,93.67,93.82300000000002,0.839333333333343
SAI,18,9.0,18,MEDIUM,95.463,94.603,1.6193333333333157
ALB,18,10.0,18,MEDIUM,95.189,95.51299999999999,2.5293333333333123
BEA,18,11.0,18,MEDIUM,95.176,95.06466666666667,2.080999999999989
OCO,18,12.0,18,MEDIUM,95.226,95.32933333333334,2.3456666666666592
LIN,18,13.0,18,MEDIUM,95.94,95.97699999999999,2.993333333333311
BOR,18,14.0,18,MEDIUM,95.843,95.56666666666666,2.582999999999984
PER,18,15.0,18,MEDIUM,96.558,96.35133333333333,3.3676666666666506
BOT,18,16.0,12,SOFT,96.719,96.40033333333334,3.416666666666657
ALO,18,17.0,18,MEDIUM,96.939,96.74366666666667,3.759999999999991
STR,18,18.0,18,MEDIUM,96.539,98.09933333333333,5.115666666666655
NOR,19,1.0,19,MEDIUM,93.008,93.00133333333333,0.0
ANT,19,2.0,19,MEDIUM,93.345,93.31833333333333,0.31699999999999307
LEC,19,3.0,19,MEDIUM,93.539,94.22833333333335,1.227000000000018
PIA,19,4.0,19,MEDIUM,93.718,94.11266666666666,1.1113333333333202
RUS,19,5.0,19,MEDIUM,93.873,93.871,0.8696666666666601
HAM,19,6.0,19,MEDIUM,94.024,93.98066666666666,0.9793333333333294
